Word;SentenceID;Text 
bank;1;I went to the bank to deposit my money
bank;2;The bank on the riverside was full of dead fishes
plant;3;The workers at the industrial plant were overworked
tree;4;The tree in the garden is no longer bearing flowers
plant;5;The plant in the garden is no longer bearing flowers
add;6;Add the number of people in this town to those of the neighboring town
add;7;Add some extra plates to the dinner table
add;8;The music added a lot to the play
color;9;The characters were delineated with exceptional vividness and color
color;10;The Puritan Period was lacking in color
high;11;The high temperature keeps on rising
high;12;He has a high opinion of himself
book;13;I am reading a book on economics 
book;14;He bought a book of stamps
book;15;I still need to book my flight to Japan
kill;16;The comedian was so funny, he was killing me
kill;17;She was killed in the collision of three cars
call;18;She called your cell phone four times
call;19;I will call on him later
date;20;We have not heard from them to date
